"","Time","Spp","Colony","Core","Notes","Treatment","Replicate","Date","YII"
"244",0,"S.sid",24,"24-29","OK","N ","R2","2017-09-01",0.493
"245",0,"S.sid",24,"24-30","OK","NP","R2","2017-09-01",0.5
"246",0,"S.sid",24,"24-31","Meh","N ","R1","2017-09-01",0.494
"247",0,"S.sid",24,"24-32","OK","Control ","R1","2017-09-01",0.502
"248",0,"S.sid",24,"24-33","OK","N ","R1","2017-09-01",0.51
"249",0,"S.sid",24,"24-34","OK","NP","R1","2017-09-01",0.494
"250",0,"S.sid",24,"24-35","OK","Control ","R2","2017-09-01",0.498
"251",0,"S.sid",24,"24-36","OK","N ","R2","2017-09-01",0.504
"252",0,"S.sid",24,"24-37","OK","NP","R2","2017-09-01",0.508
"253",0,"S.sid",24,"24-38","OK","Control ","R1","2017-09-01",0.505
"254",0,"S.sid",24,"24-39","OK","N ","R1","2017-09-01",0.495
"255",0,"S.sid",24,"24-40","OK","NP","R1","2017-09-01",0.511
"256",0,"S.sid",24,"24-41","OK","Control ","R2","2017-09-01",0.511
"257",0,"S.sid",24,"24-42","OK","N ","R2","2017-09-01",0.487
"258",0,"S.sid",24,"24-43","OK","NP","R2","2017-09-01",0.497
"259",0,"S.sid",24,"24-44","OK","Control ","R1","2017-09-01",0.486
"260",0,"S.sid",24,"24-45","OK","N ","R1","2017-09-01",0.511
"261",0,"S.sid",24,"24-46","OK","NP","R1","2017-09-01",0.511
"262",0,"S.sid",24,"24-47","OK","Control ","R2","2017-09-01",0.493
"263",0,"S.sid",24,"24-48","OK","N ","R2","2017-09-01",0.494
"264",0,"S.sid",24,"24-49","OK","NP","R2","2017-09-01",0.501
"265",0,"S.sid",24,"24-50","OK","Control ","R1","2017-09-01",0.501
"266",0,"S.sid",24,"24-51","OK","N ","R1","2017-09-01",0.486
"267",0,"S.sid",24,"24-52","OK","NP","R1","2017-09-01",0.505
"268",0,"S.sid",24,"24-53","OK","Control ","R2","2017-09-01",0.499
"269",0,"S.sid",27,"27-3","OK","N ","R2","2017-09-01",0.412
"270",0,"S.sid",27,"27-4","OK","NP","R2","2017-09-01",0.468
"271",0,"S.sid",27,"27-5","OK","Control ","R1","2017-09-01",0.484
"272",0,"S.sid",27,"27-6","OK","N ","R1","2017-09-01",0.457
"273",0,"S.sid",27,"27-7","OK","NP","R1","2017-09-01",0.497
"274",0,"S.sid",27,"27-9","OK","Control ","R2","2017-09-01",0.444
"275",0,"S.sid",27,"27-10","OK","N ","R2","2017-09-01",0.445
"276",0,"S.sid",27,"27-13","OK","NP","R2","2017-09-01",0.483
"277",0,"S.sid",27,"27-14","OK","Control ","R1","2017-09-01",0.45
"278",0,"S.sid",27,"27-15","OK","N ","R1","2017-09-01",0.429
"279",0,"S.sid",27,"27-16","OK","NP","R1","2017-09-01",0.458
"280",0,"S.sid",27,"27-18","OK","Control ","R2","2017-09-01",0.455
"281",0,"S.sid",27,"27-19","OK","N ","R2","2017-09-01",0.441
"282",0,"S.sid",27,"27-20","OK","NP","R2","2017-09-01",0.473
"283",0,"S.sid",27,"27-22","OK","Control ","R1","2017-09-01",0.469
"284",0,"S.sid",27,"27-23","OK","N ","R1","2017-09-01",0.463
"285",0,"S.sid",27,"27-25","OK","NP","R1","2017-09-01",0.449
"286",0,"S.sid",27,"27-27","OK","Control ","R2","2017-09-01",0.44
"287",0,"S.sid",27,"27-28","OK","N ","R2","2017-09-01",0.45
"288",0,"S.sid",27,"27-29","OK","NP","R2","2017-09-01",0.431
"289",0,"S.sid",27,"27-31","Meh","NP","R1","2017-09-01",0.422
"290",0,"S.sid",27,"27-36","OK","Control ","R1","2017-09-01",0.474
"291",0,"S.sid",27,"27-39","OK","N ","R1","2017-09-01",0.484
"292",0,"S.sid",27,"27-40","OK","NP","R1","2017-09-01",0.506
"293",0,"S.sid",27,"27-45","OK","Control ","R2","2017-09-01",0.509
"294",0,"S.sid",27,"27-46","OK","N ","R2","2017-09-01",0.476
"295",0,"S.sid",27,"27-56","OK","NP","R2","2017-09-01",0.479
"296",0,"S.sid",27,"27-57","OK","Control ","R1","2017-09-01",0.501
"297",0,"S.sid",27,"27-64","OK","N ","R1","2017-09-01",0.493
"298",0,"S.sid",27,"27-65","OK","NP","R1","2017-09-01",0.491
"299",0,"S.sid",27,"27-67","OK","Control ","R2","2017-09-01",0.481
"300",0,"S.sid",27,"27-68","Meh","Control ","R2","2017-09-01",0.489
"301",0,"S.sid",27,"27-69","OK","N ","R2","2017-09-01",0.489
"302",0,"S.sid",27,"27-70","OK","NP","R2","2017-09-01",0.492
"303",0,"S.sid",27,"27-71","OK","Control ","R1","2017-09-01",0.486
"304",0,"S.sid",27,"27-73","OK","N ","R1","2017-09-01",0.471
"305",0,"S.sid",27,"27-75","OK","NP","R1","2017-09-01",0.482
"306",0,"S.sid",27,"27-77","OK","Control ","R2","2017-09-01",0.472
"307",0,"S.sid",27,"27-81","OK","N ","R2","2017-09-01",0.447
"308",0,"S.sid",27,"27-82","OK","NP","R2","2017-09-01",0.507
"309",0,"S.sid",27,"27-85","OK","Control ","R1","2017-09-01",0.496
"310",0,"S.sid",27,"27-86","OK","N ","R1","2017-09-01",0.466
"311",0,"S.sid",27,"27-87","OK","NP","R1","2017-09-01",0.474
