Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,22,22-31,OK,Control ,R2,2017-09-01,6,2,6.csv,Y.II.2
0,S.sid,22,22-32,OK,N ,R2,2017-09-01,6,3,6.csv,Y.II.3
0,S.sid,22,22-33,OK,NP,R2,2017-09-01,6,4,6.csv,Y.II.4
0,S.sid,22,22-34,OK,Control ,R1,2017-09-01,6,5,6.csv,Y.II.5
0,S.sid,22,22-35,OK,N ,R1,2017-09-01,6,6,6.csv,Y.II.6
0,S.sid,22,22-36,OK,NP,R1,2017-09-01,6,7,6.csv,Y.II.7
0,S.sid,22,22-37,OK,Control ,R2,2017-09-01,6,1,6.csv,Y.II.1
0,S.sid,22,22-38,OK,N ,R2,2017-09-01,6,8,6.csv,Y.II.8
0,S.sid,22,22-39,OK,NP,R2,2017-09-01,6,9,6.csv,Y.II.9
0,S.sid,22,22-41,OK,Control ,R1,2017-09-01,6,10,6.csv,Y.II.10
0,S.sid,22,22-42,OK,N ,R1,2017-09-01,6,11,6.csv,Y.II.11
0,S.sid,22,22-43,OK,NP,R1,2017-09-01,6,12,6.csv,Y.II.12
0,S.sid,22,22-44,OK,Control ,R2,2017-09-01,6,13,6.csv,Y.II.13
0,S.sid,22,22-45,OK,N ,R2,2017-09-01,6,14,6.csv,Y.II.14
0,S.sid,22,22-46,OK,NP,R2,2017-09-01,6,15,6.csv,Y.II.15
0,S.sid,22,22-47,OK,Control ,R1,2017-09-01,6,16,6.csv,Y.II.16
0,S.sid,22,22-48,OK,N ,R1,2017-09-01,6,17,6.csv,Y.II.17
0,S.sid,22,22-49,OK,NP,R1,2017-09-01,6,18,6.csv,Y.II.18
0,S.sid,22,22-50,OK,Control ,R2,2017-09-01,7,1,7.csv,Y.II.1
0,S.sid,22,22-51,OK,N ,R2,2017-09-01,7,2,7.csv,Y.II.2
0,S.sid,22,22-52,OK,NP,R2,2017-09-01,7,3,7.csv,Y.II.3
0,S.sid,22,22-53,OK,Control ,R1,2017-09-01,7,4,7.csv,Y.II.4
0,S.sid,22,22-54,OK,N ,R1,2017-09-01,7,5,7.csv,Y.II.5
0,S.sid,22,22-55,OK,NP,R1,2017-09-01,7,6,7.csv,Y.II.6
0,S.sid,22,22-56,OK,Control ,R2,2017-09-01,7,7,7.csv,Y.II.7
0,S.sid,22,22-57,OK,N ,R2,2017-09-01,7,8,7.csv,Y.II.8
0,S.sid,22,22-58,OK,NP,R2,2017-09-01,7,9,7.csv,Y.II.9
0,S.sid,22,22-60,OK,Control ,R1,2017-09-01,7,10,7.csv,Y.II.10
0,S.sid,22,22-61,OK,N ,R1,2017-09-01,7,11,7.csv,Y.II.11
